sample_id,day,microbial_load,revalence_index
1,0,3.06,95.44
2,0,3.06,95.22
3,0,3.06,94.84
4,0,3.06,92.8
5,0,3.06,89.78
6,0,3.06,98.52
7,0,3.06,97.33
8,0,3.06,97.15
9,0,3.06,93.68
10,0,3.06,93.6
11,0,3.06,96.8
12,0,3.06,96.6
13,0,3.06,96.3
14,0,3.06,96.0
15,0,3.06,95.66
16,0,3.06,88.12
17,0,3.06,87.12
18,0,3.06,86.76
19,0,3.06,86.17
20,0,3.06,86.06
21,0,3.06,97.7
22,0,3.06,96.41
23,0,3.06,96.24
24,0,3.06,95.07
25,0,3.06,94.7
26,0,3.06,93.65
27,0,3.06,93.5
28,0,3.06,93.34
29,0,3.06,93.25
30,0,3.06,92.85
31,0,3.06,98.35
32,0,3.06,96.67
33,0,3.06,96.55
34,0,3.12,46.87
35,0,3.12,46.3
36,0,3.12,44.88
37,0,3.12,26.28
38,0,3.12,25.72
39,0,3.12,25.28
40,0,3.12,25.1
41,0,3.12,8.11
42,0,3.12,23.55
43,0,3.12,23.49
44,0,3.12,22.74
45,0,3.12,22.19
46,0,3.12,7.47
47,0,3.12,95.35
48,0,3.12,95.14
49,0,3.12,94.41
50,0,3.12,92.72
51,0,3.12,90.86
52,0,3.12,98.26
53,0,3.12,96.56
54,0,3.12,96.29
55,0,3.12,93.43
56,0,3.12,93.35
57,0,3.12,38.79
58,0,3.12,38.5
59,0,3.12,38.31
60,0,3.12,38.29
61,0,3.12,37.2
62,0,3.12,27.76
63,0,3.12,27.71
64,0,3.12,27.14
65,0,3.12,27.07
66,0,3.12,26.9
67,0,3.12,87.22
68,0,3.12,86.59
69,0,3.12,85.82
70,0,3.12,40.74
71,0,3.12,40.57
72,0,3.12,70.9
73,0,3.12,70.38
74,0,3.12,69.76
75,0,3.12,50.12
76,0,3.12,49.92
77,0,3.12,79.66
78,0,3.12,79.08
79,0,3.12,78.72
80,0,3.12,78.38
81,0,3.12,30.49
82,0,3.12,77.14
83,0,3.12,76.76
84,0,3.12,76.42
85,0,3.12,76.12
86,0,3.12,75.22
87,0,3.12,74.76
88,0,3.12,72.83
89,0,3.12,72.19
90,0,3.12,71.24
91,0,3.12,70.4
92,0,3.12,63.49
93,0,3.12,63.41
94,0,3.12,62.72
95,0,3.12,62.65
96,0,3.12,62.64
97,0,3.12,89.6
98,0,3.12,86.51
99,0,3.12,86.12
100,0,3.12,85.86
101,0,3.12,85.46
102,0,3.12,98.63
103,0,3.12,98.46
104,0,3.12,98.29
105,0,3.12,98.28
106,0,3.12,97.93
107,0,3.12,98.54
108,0,3.12,98.5
109,0,3.12,98.04
110,0,3.12,96.73
111,0,3.12,95.33
112,0,3.12,81.8
113,0,3.12,81.71
114,0,3.12,81.56
115,0,3.12,81.53
116,0,3.12,81.49
117,0,3.12,80.31
118,0,3.12,80.13
119,0,3.12,79.84
120,0,3.12,79.8
121,0,3.12,79.74
122,0,3.12,92.87
123,0,3.12,80.58
124,0,3.12,80.43
125,0,3.12,80.22
126,0,3.12,79.69
127,0,3.12,73.05
128,0,3.12,72.31
129,0,3.12,72.28
130,0,3.12,22.29
131,0,3.12,22.28
132,0,3.12,98.0
133,0,3.12,97.73
134,0,3.12,97.36
135,0,3.12,97.06
136,0,3.12,97.06
137,0,3.12,90.69
138,0,3.12,89.12
139,0,3.12,89.03
140,0,3.12,85.71
141,0,3.12,85.49
142,0,3.12,94.35
143,0,3.12,93.53
144,0,3.12,93.2
145,0,3.12,93.18
146,0,3.12,92.94
147,0,3.12,91.27
148,0,3.12,90.38
149,0,3.12,90.3
150,0,2.49,65.84
151,0,2.49,63.71
152,0,2.49,63.32
153,0,2.49,62.16
154,0,2.49,5.64
155,0,2.49,73.63
156,0,2.49,73.42
157,0,2.49,69.64
158,0,2.49,67.94
159,0,2.49,6.49
160,0,2.49,95.26
161,0,2.49,95.05
162,0,2.49,93.89
163,0,2.49,92.63
164,0,2.49,90.77
165,0,2.49,97.0
166,0,2.49,94.91
167,0,2.49,94.65
168,0,2.49,92.23
169,0,2.49,92.15
170,0,2.49,84.76
171,0,2.49,84.69
172,0,2.49,84.58
173,0,2.49,84.13
174,0,2.49,84.11
175,0,2.49,52.7
176,0,2.49,52.54
177,0,2.49,52.5
178,0,2.49,52.08
179,0,2.49,51.9
180,0,2.49,45.3
181,0,2.49,45.21
182,0,2.49,44.98
183,0,2.49,44.48
184,0,2.49,44.48
185,0,2.49,92.21
186,0,2.49,92.0
187,0,2.49,91.62
188,0,2.49,90.0
189,0,2.49,89.89
190,0,2.49,50.35
191,0,2.49,50.3
192,0,2.49,50.28
193,0,2.49,49.75
194,0,2.49,49.74
195,0,2.49,89.93
196,0,2.49,66.66
197,0,2.49,66.65
198,0,2.49,66.2
199,0,2.49,66.02
200,0,2.49,97.91
201,0,2.49,97.76
202,0,2.49,97.74
203,0,2.49,97.74
204,0,2.49,97.58
205,0,2.49,63.61
206,0,2.49,63.5
207,0,2.49,63.27
208,0,2.49,63.23
209,0,2.49,63.11
210,0,2.49,88.65
211,0,2.49,88.64
212,0,2.49,88.57
213,0,2.49,88.29
214,0,2.49,88.25
215,0,2.49,90.51
216,0,2.49,89.02
217,0,2.49,88.85
218,0,2.49,42.31
219,0,2.49,42.07
220,0,2.49,41.87
221,0,2.49,41.84
222,0,2.49,41.44
223,0,2.49,76.1
224,0,2.49,75.31
225,0,2.49,44.8
226,0,2.59,36.96
227,0,2.59,35.69
228,0,2.59,35.55
229,0,2.59,34.82
230,0,2.59,5.34
231,0,2.59,18.0
232,0,2.59,17.95
233,0,2.59,17.11
234,0,2.59,2.67
235,0,2.59,0.35
236,0,2.59,95.41
237,0,2.59,95.2
238,0,2.59,94.47
239,0,2.59,92.77
240,0,2.59,90.91
241,0,2.59,96.04
242,0,2.59,94.54
243,0,2.59,94.54
244,0,2.59,91.32
245,0,2.59,91.24
246,0,2.59,96.51
247,0,2.59,96.42
248,0,2.59,96.22
249,0,2.59,95.43
250,0,2.59,95.15
251,0,2.59,68.21
252,0,2.59,67.93
253,0,2.59,67.78
254,0,2.59,66.92
255,0,2.59,66.83
256,0,2.59,78.93
257,0,2.59,78.23
258,0,2.59,78.2
259,0,2.59,77.81
260,0,2.59,76.71
261,0,2.59,83.94
262,0,2.59,83.67
263,0,2.59,82.49
264,0,2.59,75.47
265,0,2.59,75.43
266,0,2.59,71.06
267,0,2.59,60.76
268,0,2.59,45.74
269,0,2.59,45.68
270,0,2.59,45.16
271,0,2.59,96.2
272,0,2.59,93.22
273,0,2.59,91.75
274,0,2.59,91.75
275,0,2.59,90.95
276,0,2.59,96.57
277,0,2.59,96.41
278,0,2.59,96.27
279,0,2.59,96.24
280,0,2.59,95.99
281,0,2.59,92.21
282,0,2.59,92.07
283,0,2.59,91.22
284,0,2.59,90.96
285,0,2.59,90.79
286,0,2.59,88.47
287,0,2.59,85.98
288,0,2.59,85.81
289,0,2.59,83.09
290,0,2.59,82.93
291,0,2.59,93.43
292,0,2.59,93.07
293,0,2.59,92.36
294,0,2.59,91.73
