treatment,day,revalence_index,class_label,voc_count
Control ,0,95.44,fresh,33
Control ,0,95.22,fresh,33
Control ,0,94.84,fresh,33
Control ,0,92.8,fresh,33
Control ,0,89.78,fresh,33
Control ,0,98.52,fresh,33
Control ,0,97.33,fresh,33
Control ,0,97.15,fresh,33
Control ,0,93.68,fresh,33
Control ,0,93.6,fresh,33
Control ,0,96.8,fresh,33
Control ,0,96.6,fresh,33
Control ,0,96.3,fresh,33
Control ,0,96.0,fresh,33
Control ,0,95.66,fresh,33
Control ,0,88.12,fresh,33
Control ,0,87.12,fresh,33
Control ,0,86.76,fresh,33
Control ,0,86.17,fresh,33
Control ,0,86.06,fresh,33
Control ,0,97.7,fresh,33
Control ,0,96.41,fresh,33
Control ,0,96.24,fresh,33
Control ,0,95.07,fresh,33
Control ,0,94.7,fresh,33
Control ,0,93.65,fresh,33
Control ,0,93.5,fresh,33
Control ,0,93.34,fresh,33
Control ,0,93.25,fresh,33
Control ,0,92.85,fresh,33
Control ,0,98.35,fresh,33
Control ,0,96.67,fresh,33
Control ,0,96.55,fresh,33
Control ,0,46.87,fresh,116
Control ,0,46.3,fresh,116
Control ,0,44.88,fresh,116
Control ,0,26.28,fresh,116
Control ,0,25.72,fresh,116
Control ,0,25.28,fresh,116
Control ,0,25.1,fresh,116
Control ,0,8.11,fresh,116
Control ,0,23.55,fresh,116
Control ,0,23.49,fresh,116
Control ,0,22.74,fresh,116
Control ,0,22.19,fresh,116
Control ,0,7.47,fresh,116
Control ,0,95.35,fresh,116
Control ,0,95.14,fresh,116
Control ,0,94.41,fresh,116
Control ,0,92.72,fresh,116
Control ,0,90.86,fresh,116
Control ,0,98.26,fresh,116
Control ,0,96.56,fresh,116
Control ,0,96.29,fresh,116
Control ,0,93.43,fresh,116
Control ,0,93.35,fresh,116
Control ,0,38.79,fresh,116
Control ,0,38.5,fresh,116
Control ,0,38.31,fresh,116
Control ,0,38.29,fresh,116
Control ,0,37.2,fresh,116
Control ,0,27.76,fresh,116
Control ,0,27.71,fresh,116
Control ,0,27.14,fresh,116
Control ,0,27.07,fresh,116
Control ,0,26.9,fresh,116
Control ,0,87.22,fresh,116
Control ,0,86.59,fresh,116
Control ,0,85.82,fresh,116
Control ,0,40.74,fresh,116
Control ,0,40.57,fresh,116
Control ,0,70.9,fresh,116
Control ,0,70.38,fresh,116
Control ,0,69.76,fresh,116
Control ,0,50.12,fresh,116
Control ,0,49.92,fresh,116
Control ,0,79.66,fresh,116
Control ,0,79.08,fresh,116
Control ,0,78.72,fresh,116
Control ,0,78.38,fresh,116
Control ,0,30.49,fresh,116
Control ,0,77.14,fresh,116
Control ,0,76.76,fresh,116
Control ,0,76.42,fresh,116
Control ,0,76.12,fresh,116
Control ,0,75.22,fresh,116
Control ,0,74.76,fresh,116
Control ,0,72.83,fresh,116
Control ,0,72.19,fresh,116
Control ,0,71.24,fresh,116
Control ,0,70.4,fresh,116
Control ,0,63.49,fresh,116
Control ,0,63.41,fresh,116
Control ,0,62.72,fresh,116
Control ,0,62.65,fresh,116
Control ,0,62.64,fresh,116
Control ,0,89.6,fresh,116
Control ,0,86.51,fresh,116
Control ,0,86.12,fresh,116
Control ,0,85.86,fresh,116
Control ,0,85.46,fresh,116
Control ,0,98.63,fresh,116
Control ,0,98.46,fresh,116
Control ,0,98.29,fresh,116
Control ,0,98.28,fresh,116
Control ,0,97.93,fresh,116
Control ,0,98.54,fresh,116
Control ,0,98.5,fresh,116
Control ,0,98.04,fresh,116
Control ,0,96.73,fresh,116
Control ,0,95.33,fresh,116
Control ,0,81.8,fresh,116
Control ,0,81.71,fresh,116
Control ,0,81.56,fresh,116
Control ,0,81.53,fresh,116
Control ,0,81.49,fresh,116
Control ,0,80.31,fresh,116
Control ,0,80.13,fresh,116
Control ,0,79.84,fresh,116
Control ,0,79.8,fresh,116
Control ,0,79.74,fresh,116
Control ,0,92.87,fresh,116
Control ,0,80.58,fresh,116
Control ,0,80.43,fresh,116
Control ,0,80.22,fresh,116
Control ,0,79.69,fresh,116
Control ,0,73.05,fresh,116
Control ,0,72.31,fresh,116
Control ,0,72.28,fresh,116
Control ,0,22.29,fresh,116
Control ,0,22.28,fresh,116
Control ,0,98.0,fresh,116
Control ,0,97.73,fresh,116
Control ,0,97.36,fresh,116
Control ,0,97.06,fresh,116
Control ,0,97.06,fresh,116
Control ,0,90.69,fresh,116
Control ,0,89.12,fresh,116
Control ,0,89.03,fresh,116
Control ,0,85.71,fresh,116
Control ,0,85.49,fresh,116
Control ,0,94.35,fresh,116
Control ,0,93.53,fresh,116
Control ,0,93.2,fresh,116
Control ,0,93.18,fresh,116
Control ,0,92.94,fresh,116
Control ,0,91.27,fresh,116
Control ,0,90.38,fresh,116
Control ,0,90.3,fresh,116
Control ,0,65.84,fresh,76
Control ,0,63.71,fresh,76
Control ,0,63.32,fresh,76
Control ,0,62.16,fresh,76
Control ,0,5.64,fresh,76
Control ,0,73.63,fresh,76
Control ,0,73.42,fresh,76
Control ,0,69.64,fresh,76
Control ,0,67.94,fresh,76
Control ,0,6.49,fresh,76
Control ,0,95.26,fresh,76
Control ,0,95.05,fresh,76
Control ,0,93.89,fresh,76
Control ,0,92.63,fresh,76
Control ,0,90.77,fresh,76
Control ,0,97.0,fresh,76
Control ,0,94.91,fresh,76
Control ,0,94.65,fresh,76
Control ,0,92.23,fresh,76
Control ,0,92.15,fresh,76
Control ,0,84.76,fresh,76
Control ,0,84.69,fresh,76
Control ,0,84.58,fresh,76
Control ,0,84.13,fresh,76
Control ,0,84.11,fresh,76
Control ,0,52.7,fresh,76
Control ,0,52.54,fresh,76
Control ,0,52.5,fresh,76
Control ,0,52.08,fresh,76
Control ,0,51.9,fresh,76
Control ,0,45.3,fresh,76
Control ,0,45.21,fresh,76
Control ,0,44.98,fresh,76
Control ,0,44.48,fresh,76
Control ,0,44.48,fresh,76
Control ,0,92.21,fresh,76
Control ,0,92.0,fresh,76
Control ,0,91.62,fresh,76
Control ,0,90.0,fresh,76
Control ,0,89.89,fresh,76
Control ,0,50.35,fresh,76
Control ,0,50.3,fresh,76
Control ,0,50.28,fresh,76
Control ,0,49.75,fresh,76
Control ,0,49.74,fresh,76
Control ,0,89.93,fresh,76
Control ,0,66.66,fresh,76
Control ,0,66.65,fresh,76
Control ,0,66.2,fresh,76
Control ,0,66.02,fresh,76
Control ,0,97.91,fresh,76
Control ,0,97.76,fresh,76
Control ,0,97.74,fresh,76
Control ,0,97.74,fresh,76
Control ,0,97.58,fresh,76
Control ,0,63.61,fresh,76
Control ,0,63.5,fresh,76
Control ,0,63.27,fresh,76
Control ,0,63.23,fresh,76
Control ,0,63.11,fresh,76
Control ,0,88.65,fresh,76
Control ,0,88.64,fresh,76
Control ,0,88.57,fresh,76
Control ,0,88.29,fresh,76
Control ,0,88.25,fresh,76
Control ,0,90.51,fresh,76
Control ,0,89.02,fresh,76
Control ,0,88.85,fresh,76
Control ,0,42.31,fresh,76
Control ,0,42.07,fresh,76
Control ,0,41.87,fresh,76
Control ,0,41.84,fresh,76
Control ,0,41.44,fresh,76
Control ,0,76.1,fresh,76
Control ,0,75.31,fresh,76
Control ,0,44.8,fresh,76
Control ,0,36.96,fresh,83
Control ,0,35.69,fresh,83
Control ,0,35.55,fresh,83
Control ,0,34.82,fresh,83
Control ,0,5.34,fresh,83
Control ,0,18.0,fresh,83
Control ,0,17.95,fresh,83
Control ,0,17.11,fresh,83
Control ,0,2.67,fresh,83
Control ,0,0.35,fresh,83
Control ,0,95.41,fresh,83
Control ,0,95.2,fresh,83
Control ,0,94.47,fresh,83
Control ,0,92.77,fresh,83
Control ,0,90.91,fresh,83
Control ,0,96.04,fresh,83
Control ,0,94.54,fresh,83
Control ,0,94.54,fresh,83
Control ,0,91.32,fresh,83
Control ,0,91.24,fresh,83
Control ,0,96.51,fresh,83
Control ,0,96.42,fresh,83
Control ,0,96.22,fresh,83
Control ,0,95.43,fresh,83
Control ,0,95.15,fresh,83
Control ,0,68.21,fresh,83
Control ,0,67.93,fresh,83
Control ,0,67.78,fresh,83
Control ,0,66.92,fresh,83
Control ,0,66.83,fresh,83
Control ,0,78.93,fresh,83
Control ,0,78.23,fresh,83
Control ,0,78.2,fresh,83
Control ,0,77.81,fresh,83
Control ,0,76.71,fresh,83
Control ,0,83.94,fresh,83
Control ,0,83.67,fresh,83
Control ,0,82.49,fresh,83
Control ,0,75.47,fresh,83
Control ,0,75.43,fresh,83
Control ,0,71.06,fresh,83
Control ,0,60.76,fresh,83
Control ,0,45.74,fresh,83
Control ,0,45.68,fresh,83
Control ,0,45.16,fresh,83
Control ,0,96.2,fresh,83
