sample_id,treatment,day,voc,class_label
1,Control ,0,"['propanal', 'propenal', 'ethyl chloride', 'ethanol', 'dimethyl sulfide', 'methyl acetate', 'propan-2-one', 'dimethyl sulfide', '2-propanol', '2-methyl-2-propanol', 'ethyl acetate', '2,2-dichloropropane', '1-propanethiol', '2-methylfuran', 'ethene, 1,2-dichloro, (z)-', '1-methoxy-2-propanol', '1-penten-3-one', 'trometamol', 'n-butanol', '3-pentanone', 'octane', '(e)-4-octene', '1-octene', '3-ethylhexane', '3-methylheptane', 'dibromochloromethane', '(z)-3-hexenal', 'hexanal', '2-hexanol', 'edb', 'n-hexylbenzene', 'tridecane', '(r)-linden ether']",fresh
2,Control ,0,"['methanethiol', 'acetaldehyde', '2-methylbutane', 'acetaldehyde', 'methanethiol', 'methanol', '2-methylbutane', 'pentane', 'acetaldehyde', 'methanol', 'methanethiol', '2-methylbutane', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', '2-methyl-2-propanethiol', '2-methylfuran', 'diisopropyl ether', 'methylcyclopentane', 'hexane', 'acrylonitrile', '2-methylpropanal', 'acetonitrile', 'dichloromethane', '2-methyl-2-propanol', '3-ethylpentane', 'hexamethyldisiloxane', '3-methylhexane', '2-methylfuran', 'methylcyclopentane', '3-ethylpentane', 'hexamethyldisiloxane', '3-methylhexane', '2-methylfuran', 'methylcyclopentane', '3-ethylpentane', 'hexamethyldisiloxane', '2,2,4-trimethylpentane', '3-methylhexane', 'ethyl acetate', '3-ethylpentane', '2,2,4-trimethylpentane', 'heptane', 'hexamethyldisiloxane', '3-methylhexane', 'heptane', '2,2,4-trimethylpentane', '3-ethylpentane', 'hexamethyldisiloxane', '3-methylhexane', '3-ethylhexane', '3-methylheptane', '2-methylheptane', '1-chloropentane', '4-methylheptane', 'acetoin', 'pentanol', '1-hexen-3-ol', '(e)-2-penten-1-ol', 'ethane, 1,1,2-trichloro-', 'dibromochloromethane', '(z)-3-hexenal', 'hexanal', '2-hexanol', 'edb', 'furfural', '1-hydroxy-2-(methylthio)-ethane', '2-cyclopenten-1-one', 'butanoic acid', '4-methylpentanol', 'heptan-2-ol', 'cyclohexanone', '2,6-dimethyl-3-octene', '(z)-4-heptenal', 'heptanal', '2,3-octanedione', 'octadienone', '1,5-octadienone', '1-octen-3-ol', 'butyl methacrylate', 'pentanoic acid', 'trimethylpyrazine', 'octanal', '2-octanol', '2-ethyl-5-methylpyrazine', 'glycerol', 'hexanoic acid', 'methyl cyclohexanecarboxylate', '(z,z)-3,6-nonadienal', 'n-nonanal', 'n-nonanal', '2-nonanol', '3-nonanol', '(z,z)-3,6-nonadienal', 'linalool', 'n-hexylbenzene', 'tridecane', '(r)-linden ether', 'triethyl phosphate', 'phenol, 2,6-dimethyl-', '1,2-benzenediol', '2,4-decadienal, (e,e)-', '1,2,3-trimethoxybenzene', '2,4,6-trichloroanisole', 'decanoic acid', 'methyl eugenol', 'bis(2-furylmethyl) sulfide', 'carbamothioic acid, dipropyl, s-propyl ester']",fresh
3,Control ,0,"['acetaldehyde', 'methanethiol', 'methanol', '2-methylbutane', 'pentane', 'acetaldehyde', 'methanol', 'methanethiol', '2-methylbutane', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', 'ethyl acetate', '1-propanethiol', '2,2-dichloropropane', '2-methylfuran', 'methylcyclopentane', 'ethene, 1,2-dichloro, (z)-', 'methyl 2-propenoate', '1-propanethiol', 'ethyl acetate', 'chloroform', 'butan-2-one', '2-butanol', 's(+)-2-butanol', 'methyl 2-propenoate', 'ethene, 1,2-dichloro, (z)-', '1-methoxy-2-propanol', '1-penten-3-one', 'trometamol', '3-pentanone', 'n-butanol', '3-ethylhexane', 'octane', '3-methylheptane', 'acetic acid', '(e)-4-octene', 'acetoin', '1-hexen-3-ol', 'pentanol', '(e)-2-penten-1-ol', 'ethane, 1,1,2-trichloro-', 'dibromochloromethane', 'edb', '(z)-3-hexenal', '2-hexanol', 'hexanal', '2,3-octanedione', 'octadienone', '1,5-octadienone', '1-octen-3-ol', 'butyl methacrylate', 'benzaldehyde', '3-octanol', 'ethyl (methylthio)acetate', '5-methylfurfural', '1-octen-3-ol', 'n-hexylbenzene', 'tridecane', '(r)-linden ether', 'carbamothioic acid, dipropyl, s-ethyl ester', '1,2-benzenediol', '(s)-3-(1-methyl-2-pyrrolidinyl)pyridine', '2,4,6-trichloroanisole', 'decanoic acid', 'gamma-nonalactone', 'p-menthadienhydroperoxide', 'indole']",fresh
4,Control ,0,"['acetaldehyde', 'methanethiol', 'methanol', '2-methylbutane', 'pentane', 'acetaldehyde', 'methanol', 'methanethiol', 'pentane', 'diethyl ether', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', '3-methylhexane', 'hexamethyldisiloxane', 'hexane, 2-methyl-', 'cyclohexane', '3-ethylpentane', 'butane-2,3-dione', '3-buten-2-one', 'butanal', 'vinyl acetate', 'butan-2-one', 'butane-2,3-dione', 'butan-2-one', 's(+)-2-butanol', '2-butanol', '3-buten-2-one', 'n-butanol', '1-methoxy-2-propanol', 'but-(e)-2-enal', 'pentanal', '3-pentanone', 'formic acid', 'acetic acid', '3-ethylhexane', '3-methylheptane', '2-methylheptane', 'acetoin', 'nonane', '3-ethylheptane', '3-methyl-octane', 'dibutyl ether', 'dibromochloromethane', '(z)-3-hexenal', '2-hexanol', 'hexanal', 'edb', 'nonane 3-methyl', '3-ethyloctane', '2-methylnonane', 'beta-pinene', 'octamethylcyclotetrasiloxane', 'pentanoic acid', '3-mercapto-4-methyl-2-pentanone', 'cyclopentane, 1-ethyl-3-methyl-', '2,3-octanedione', 'octadienone', 'ethyl maltol', '2,6-dichlorophenol', '(z)-3-phenyl-2-propenal', 'methylnonanedione', '2-cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-', 'p-anisaldehyde', 'dichlorvos', '5-ethyl-3-hydroxy-4-methyl-2(5h)-furanone', 'butyl octanoate', 'n-hexyl-hexanoate', '3-dodecanone', '2-propenoic acid, 2-methyl, octyl ester', 'propionic acid nonyl ester', '4-dodecanol', 'nonyl acrylate', 'methyl eugenol', 'p-menthadienhydroperoxide', 'gamma-nonalactone']",fresh
5,Control ,0,"['acetaldehyde', 'methanethiol', '2-methylbutane', 'acetaldehyde', 'methanethiol', 'methanol', '2-methylbutane', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'dimethyl sulfide', 'methyl acetate', 'propan-2-one', 'dimethyl sulfide', '2-propanol', '2-methyl-2-propanol', 'hexamethyldisiloxane', '3-methylhexane', 'hexane, 2-methyl-', 'cyclohexane', '3-ethylpentane', '1-propanol', 'butan-2-one', '2-butanol', 'chloroform', 's(+)-2-butanol', 'n-butanol', '1-methoxy-2-propanol', 'but-(e)-2-enal', '1-penten-3-one', 'trometamol', 'acetic acid', 'formic acid', 'pent-1-en-3-ol', 'n-butanol', '1-methoxy-2-propanol', 'dibromochloromethane', '(z)-3-hexenal', 'hexanal', '2-hexanol', 'hexan-2-one', 'e-3-octen-2-one', 'formic acid 3-mercapto-3-methyl-butyl ester', 'acetylpyrazine', '2-acetylthiazole', 'dimethyl fumarate', '2-butyloctanol', 'benzyl alcohol', 'methyl cyclohexanecarboxylate', 'benzeneacetaldehyde', '5-ethyldihydro-2(3h)-furanone', 'n-hexylbenzene', 'tridecane', '(r)-linden ether', 'phenol, 2-methyl-', '3-ethyl-2,5-dimethyl-1h-pyrrole', 'butyl octanoate', 'n-hexyl-hexanoate', 'heptyl pentanoate', 'octyl butanoate', '(z)-3-hexenyl hexanoate', 'carbamothioic acid, dipropyl, s-ethyl ester', 'decanoic acid', '(s)-3-(1-methyl-2-pyrrolidinyl)pyridine', 'p-mentha-dien-hydroperoxide', '4-vinylguaiacol', 'gamma-nonalactone', 'p-menthadienhydroperoxide', '[z] whiskey lactone', 'p-menthadienhydroperoxide', 'methyl eugenol']",fresh
6,Control ,0,"['acetaldehyde', 'methanethiol', '2-methylbutane', 'acetaldehyde', 'methanethiol', 'methanol', '2-methylbutane', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', 'butane-2,3-dione', 'butanal', '3-buten-2-one', 'ethene, 1,2-dichloro, (z)-', 'methyl 2-propenoate', 'chloroform', 'methane, bromochloro-', 'butan-2-one', 'ethene, 1,2-dichloro, (z)-', '2-butanol', 'acetic acid', '3-methylheptane', '3-ethylhexane', '2-methylheptane', '4-methylheptane', 'octane', '(e)-4-octene', '1-octene', 'pent-1-en-3-ol', 'pentan-2-one', '3-methylfuran', 'nonane', '3-ethylheptane', '3-methyl-octane', 'dibutyl ether', 'dibromochloromethane', '(z)-3-hexenal', 'hexanal', '2-hexanol', 'edb', 'cyclopentane, 1-ethyl-3-methyl-', 'pentanoic acid', '3-mercapto-4-methyl-2-pentanone', '2,3-octanedione', 'octadienone', 'n-hexylbenzene', 'tridecane', '(r)-linden ether', '5,6,7,8-tetrahydroquinoxaline', '2-[(methyldithio)methyl]furan', 'gamma-nonalactone', 'p-menthadienhydroperoxide', 'undecyl acetate', 'beta-himachalene', 'propionic acid decyl ester', 'delta-decalactone', 'coumarin', '2,4-dinitrotoluene']",fresh
7,Control ,0,"['acetaldehyde', 'methanethiol', 'methanol', 'pentane', '2-methylbutane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'propan-2-one', 'dimethyl sulfide', '2-propanol', '2-methyl-2-propanol', 'butanal', 'butane-2,3-dione', '3-buten-2-one', 'vinyl acetate', 'carbon disulfide', 'butane-2,3-dione', 'butanal', '3-buten-2-one', 'carbon disulfide', 'butan-2-one', '1-methoxy-2-propanol', '1-penten-3-one', 'trometamol', 'n-butanol', '3-pentanone', 'acetic acid', 'formic acid', 'octane', '(e)-4-octene', '1-octene', 'dibromochloromethane', '(z)-3-hexenal', 'hexanal', '2-hexanol', 'edb', 'n-hexylbenzene', 'tridecane', '(r)-linden ether', '1,2-benzenediol', '2,4,6-trichloroanisole', 'carbamothioic acid, dipropyl, s-ethyl ester', '2,4-decadienal, (e,e)-', '1,2,3-trimethoxybenzene', 'gamma-nonalactone']",fresh
8,Control ,0,"['acetaldehyde', 'methanethiol', 'trimethylamine', 'methyl formate', '2-methylbutane', 'methanol', 'acetaldehyde', 'methyl formate', 'pentane', 'methanethiol', 'furan', 'diethyl ether', 'pentane', 'methanol', 'ethyl chloride', 'ethanol', 'propenal', 'propanal', 'ethyl chloride', 'dimethyl sulfide', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', 'butan-2-one', '2-butanol', 'chloroform', 's(+)-2-butanol', 'methane, bromochloro-', 'methyl butanoate', '2,3-pentanedione', 'dibromomethane', 'pentanal', 'ethyl acrylate', 'pentanol', '1-hexen-3-ol', '(e)-2-penten-1-ol', 'ethane, 1,1,2-trichloro-', '1-hexen-3-one', 'dibromochloromethane', '(z)-3-hexenal', 'hexanal', '2-hexanol', 'edb', 'butyl 2-propenoate', 'ethyl pentanoate', 'butyl propanoate', 'vinylbenzene', '2-pentanone, 3-mercapto-', '2,3-octanedione', 'octadienone', '1,5-octadienone', 'butyl methacrylate', '1-octen-3-ol', 'n-hexylbenzene', 'tridecane', '(r)-linden ether', 'caprolactam', 'delta-octalactone', '[e]-whiskey lactone', 'anisyl alcohol', 'indole']",fresh
9,Control ,0,"['acetaldehyde', 'methanethiol', '2-methylbutane', 'acetaldehyde', 'methanol', 'methanethiol', '2-methylbutane', 'pentane', 'acetaldehyde', 'methanol', 'methanethiol', '2-methylbutane', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', 'tetrahydrofuran', 'methyl propanoate', '1-propanethiol', 'ethene, 1,2-dichloro, (z)-', 'methyl 2-propenoate', 'butan-2-one', '2-butanol', 'chloroform', 's(+)-2-butanol', 'methane, bromochloro-', 'acetic acid', 'but-(e)-2-enal', 'formic acid', '3-methylheptane', '3-ethylhexane', '2,3-pentanedione', 'methyl butanoate', 'dibromomethane', 'pentanal', 'ethyl acrylate', '3-methylfuran', 'pentanol', '1-hexen-3-ol', '(e)-2-penten-1-ol', 'ethane, 1,1,2-trichloro-', 'dibromochloromethane', '(z)-3-hexenal', '2-hexanol', 'hexanal', 'edb', '5-methyl-4-nonene', 'octamethylcyclotetrasiloxane', 'decane', 'beta-pinene', '1-heptene-3-one', 'decane', 'octamethylcyclotetrasiloxane', '5-methyl-4-nonene', '1,3,5-trimethylbenzene', 'o-chlorotoluene', 'pentyl acrylate', 'ethyl hexanoate', 'propyl pentanoate', 'z-3-hexen-1-ol, acetate', 'butyl butanoate', 'cyclopentane, 1-ethyl-3-methyl-', '2,3-octanedione', 'octadienone', '1,5-octadienone', '1-octen-3-ol', 'pentanoic acid', 'benzaldehyde', 'ethyl (methylthio)acetate', '1-octen-3-ol', 'octadienone', 'n-nonanal', '2-nonanol', '3-nonanol', 'ethyl 3-(methylthio)propanoate', '(z,z)-3,6-nonadienal', 'n-hexylbenzene', 'tridecane', '(r)-linden ether', 'phenol, 2-methyl-', 'triethyl phosphate', '[e]-whiskey lactone', 'delta-octalactone', 'caprolactam', 'anisyl alcohol']",fresh
10,Control ,0,"['acetaldehyde', 'methanethiol', '2-methylbutane', 'acetaldehyde', 'methanol', 'methanethiol', '2-methylbutane', 'pentane', 'acetaldehyde', 'methanol', 'methanethiol', '2-methylbutane', 'pentane', 'ethyl chloride', 'methanol', 'furan', 'pentane', 'diethyl ether', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', 'vinyl acetate', 'ethane, 1,1-dichloro-', '3-buten-2-one', 'butanal', '2-methylfuran', '1-propanethiol', 'ethene, 1,2-dichloro, (z)-', 'methyl 2-propenoate', 'ethyl acetate', '2,2-dichloropropane', 'butan-2-one', '2-butanol', 'chloroform', 's(+)-2-butanol', 'methane, bromochloro-', '2,3-pentanedione', 'dibromomethane', 'methyl butanoate', 'pentanal', 'ethyl acrylate', 'pentanol', '1-hexen-3-ol', '(e)-2-penten-1-ol', 'ethane, 1,1,2-trichloro-', '1-hexen-3-one', 'dibromochloromethane', '(z)-3-hexenal', 'hexanal', '2-hexanol', 'edb', '2,3-octanedione', 'octadienone', '1,5-octadienone', '1-octen-3-ol', 'butyl methacrylate', 'e-3-octen-2-one', 'formic acid 3-mercapto-3-methyl-butyl ester', 'acetylpyrazine', '5-methylfurfural', '2-acetylthiazole', 'n-hexylbenzene', '(r)-linden ether', 'tridecane', 'phenol, 2-methyl-']",fresh
