Sample_ID,Treatment,Day,Replicate ,Microbial Load (LOG),VOC,Revalence Index,,,,,,
1,Control ,0,2,2.96,Propanal,92.42,,,,,,
1,Control ,0,2,2.96,Propenal,92.22,,,,,,
1,Control ,0,2,2.96,ethyl chloride,91.18,,,,,,
1,Control ,0,2,2.96,ethanol,89.87,,,,,,
1,Control ,0,2,2.96,propan-2-one,88.11,,,,,,
1,Control ,0,2,2.96,Methyl acetate,98.04,,,,,,
1,Control ,0,2,2.96,propan-2-one,96.4,,,,,,
1,Control ,0,2,2.96,dimethyl sulfide,96.35,,,,,,
1,Control ,0,2,2.96,2-propanol,93.22,,,,,,
1,Control ,0,2,2.96,2-Methyl-2-propanol,93.14,,,,,,
1,Control ,0,2,2.96,butan-2-one,87.6,,,,,,
1,Control ,0,2,2.96,2-butanol,87.27,,,,,,
1,Control ,0,2,2.96,Chloroform,86.86,,,,,,
1,Control ,0,2,2.96,S(+)-2-butanol,86.83,,,,,,
1,Control ,0,2,2.96,"Methane, bromochloro-",86.19,,,,,,
1,Control ,0,2,2.96,"2,3-Pentanedione",84.55,,,,,,
1,Control ,0,2,2.96,Methyl butanoate,84.26,,,,,,
1,Control ,0,2,2.96,Dibromomethane,84.15,,,,,,
1,Control ,0,2,2.96,"Methane, bromodichloro-",83.71,,,,,,
1,Control ,0,2,2.96,Ethyl acrylate,83.64,,,,,,
1,Control ,0,2,2.96,3-Methylfuran,86.4,,,,,,
1,Control ,0,2,2.96,1-hexen-3-ol,80.79,,,,,,
1,Control ,0,2,2.96,pentanol,80.74,,,,,,
1,Control ,0,2,2.96,(E)-2-penten-1-ol,80.64,,,,,,
1,Control ,0,2,2.96,2-hexanol,97.82,,,,,,
1,Control ,0,2,2.96,EDB,97.76,,,,,,
1,Control ,0,2,2.96,Dibromochloromethane,97.47,,,,,,
1,Control ,0,2,2.96,(Z)-3-hexenal,97.31,,,,,,
1,Control ,0,2,2.96,3-hexanol,97.28,,,,,,
1,Control ,0,2,2.96,1-Hydroxy-2-(methylthio)-ethane,92.68,,,,,,
1,Control ,0,2,2.96,furfural,92.63,,,,,,
1,Control ,0,2,2.96,2-Cyclopenten-1-one,91.56,,,,,,
1,Control ,0,2,2.96,Butanoic acid,90.35,,,,,,
1,Control ,0,2,2.96,E-2-Hexen-1-ol,90.1,,,,,,
1,Control ,0,2,2.96,"2,6-Dimethyl-3-octene",98.14,,,,,,
1,Control ,0,2,2.96,heptan-2-ol,97.65,,,,,,
1,Control ,0,2,2.96,"2,5-Dimethylpyrazine",96.78,,,,,,
1,Control ,0,2,2.96,"Butane, 1,4-dichloro-",96.75,,,,,,
1,Control ,0,2,2.96,Cyclohexanone,96.75,,,,,,
1,Control ,0,2,2.96,Methional,91.71,,,,,,
1,Control ,0,2,2.96,"(E,E)-2,4-hexadienal",91.62,,,,,,
1,Control ,0,2,2.96,2-methyl-2-cyclopenten-1-one,90.35,,,,,,
1,Control ,0,2,2.96,5-Methyl-1-hexanol,89.61,,,,,,
1,Control ,0,2,2.96,Dimethyl methylphosphonate,89.34,,,,,,
1,Control ,0,2,2.96,3-Methyldecane,97.61,,,,,,
1,Control ,0,2,2.96,2-methyldecane,96.25,,,,,,
1,Control ,0,2,2.96,Butylbenzene,96.02,,,,,,
1,Control ,0,2,2.96,gamma-Terpinene,95.94,,,,,,
1,Control ,0,2,2.96,4-methyldecane,95.62,,,,,,
1,Control ,0,2,2.96,"2-Octenal, (E)-",95.71,,,,,,
1,Control ,0,2,2.96,4-Nonanol,95.6,,,,,,
1,Control ,0,2,2.96,"3,5-Octadien-2-one",95.59,,,,,,
1,Control ,0,2,2.96,nonan-2-one,95.01,,,,,,
1,Control ,0,2,2.96,3-nonenal,94.9,,,,,,
1,Control ,0,2,2.96,4-hydroxy-5-methyl-3(2H)-furanone,93.76,,,,,,
1,Control ,0,2,2.96,"1,2,3-Trichlorobenzene",92.64,,,,,,
1,Control ,0,2,2.96,5-ethyldihydro-2(3h)-furanone,92.27,,,,,,
1,Control ,0,2,2.96,"Phenol, 2-methyl-",92.15,,,,,,
1,Control ,0,2,2.96,"4-hydroxy-2,5-dimethyl-3(2H)-furanone",91.91,,,,,,
1,Control ,0,2,2.96,Triethyl phosphate,91.08,,,,,,
1,Control ,0,2,2.96,"Phenol, 2,6-dimethyl-",90.85,,,,,,
1,Control ,0,2,2.96,2-Phenylethanol,90.52,,,,,,
1,Control ,0,2,2.96,2-formyl-5-methylthiophene,89.65,,,,,,
1,Control ,0,2,2.96,Maltol,89.48,,,,,,
