Sample_ID,Treatment,Day,Replicate ,Microbial Load (LOG),VOC,Revalence Index,,,,,
1,Control,0,3,2.31,Acetaldehyde,90.71,,,,,
1,Control,0,3,2.31,Methanol,87.23,,,,,
1,Control,0,3,2.31,Methanethiol,87.21,,,,,
1,Control,0,3,2.31,2-Methylbutane,85.09,,,,,
1,Control,0,3,2.31,Pentane,80.58,,,,,
1,Control,0,3,2.31,Propanal,94.96,,,,,
1,Control,0,3,2.31,Propenal,94.75,,,,,
1,Control,0,3,2.31,ethyl chloride,93.85,,,,,
1,Control,0,3,2.31,ethanol,92.33,,,,,
1,Control,0,3,2.31,Methyl acetate,96.51,,,,,
1,Control,0,3,2.31,dimethyl sulfide,94.76,,,,,
1,Control,0,3,2.31,propan-2-one,94.55,,,,,
1,Control,0,3,2.31,2-propanol,91.77,,,,,
1,Control,0,3,2.31,2-Methyl-2-propanol,91.69,,,,,
1,Control,0,3,2.31,butan-2-one,97.07,,,,,
1,Control,0,3,2.31,2-butanol,96.67,,,,,
1,Control,0,3,2.31,Chloroform,96.18,,,,,
1,Control,0,3,2.31,S(+)-2-butanol,96.18,,,,,
1,Control,0,3,2.31,"Methane, bromochloro-",95.44,,,,,
1,Control,0,3,2.31,2-hexanol,91.17,,,,,
1,Control,0,3,2.31,EDB,91.1,,,,,
1,Control,0,3,2.31,Dibromochloromethane,90.94,,,,,
1,Control,0,3,2.31,(Z)-3-hexenal,90.79,,,,,
1,Control,0,3,2.31,3-hexanol,90.66,,,,,
1,Control,0,3,2.31,p-menthadienhydroperoxide,84.9,,,,,
1,Control,0,3,2.31,p-mentha-dien-hydroperoxide,84.81,,,,,
1,Control,0,3,2.31,Triacetin,84.19,,,,,
1,Control,0,3,2.31,Cinnamaldehyde,83.92,,,,,
2,Control,0,3,2.40,Acetaldehyde,94.42,,,,,
2,Control,0,3,2.40,Methanol,90.81,,,,,
2,Control,0,3,2.40,Methanethiol,90.6,,,,,
2,Control,0,3,2.40,2-Methylbutane,88.39,,,,,
2,Control,0,3,2.40,Propanal,95.47,,,,,
2,Control,0,3,2.40,Propenal,95.26,,,,,
2,Control,0,3,2.40,ethyl chloride,93.84,,,,,
