sample_id,treatment,day,replicate,microbial_load,voc,revalence_index,class_label,voc_count
1,TA 2,0,1,3.17,Trimethylamine,47.92,fresh,73
1,TA 2,0,1,3.17,Methanethiol,45.79,fresh,73
1,TA 2,0,1,3.17,Acetaldehyde,70.58,fresh,73
1,TA 2,0,1,3.17,Methanethiol,68.03,fresh,73
1,TA 2,0,1,3.17,Methanol,68.03,fresh,73
1,TA 2,0,1,3.17,Methyl formate,25.48,fresh,73
1,TA 2,0,1,3.17,Pentane,1.84,fresh,73
1,TA 2,0,1,3.17,Methanol,75.18,fresh,73
1,TA 2,0,1,3.17,Acetaldehyde,72.3,fresh,73
1,TA 2,0,1,3.17,Methyl formate,70.61,fresh,73
1,TA 2,0,1,3.17,Methanethiol,68.33,fresh,73
1,TA 2,0,1,3.17,Pentane,0.65,fresh,73
1,TA 2,0,1,3.17,Propanal,96.3,fresh,73
1,TA 2,0,1,3.17,Propenal,96.09,fresh,73
1,TA 2,0,1,3.17,ethyl chloride,94.74,fresh,73
1,TA 2,0,1,3.17,ethanol,93.64,fresh,73
1,TA 2,0,1,3.17,propan-2-one,91.76,fresh,73
1,TA 2,0,1,3.17,Methyl acetate,98.64,fresh,73
1,TA 2,0,1,3.17,dimethyl sulfide,96.43,fresh,73
1,TA 2,0,1,3.17,propan-2-one,96.07,fresh,73
1,TA 2,0,1,3.17,2-propanol,93.79,fresh,73
1,TA 2,0,1,3.17,2-Methyl-2-propanol,93.71,fresh,73
1,TA 2,0,1,3.17,2-Methyl-2-propanethiol,82.88,fresh,73
1,TA 2,0,1,3.17,Diisopropyl ether,81.9,fresh,73
1,TA 2,0,1,3.17,2-methylfuran,81.58,fresh,73
1,TA 2,0,1,3.17,Hexane,79.51,fresh,73
1,TA 2,0,1,3.17,methylcyclopentane,78.72,fresh,73
1,TA 2,0,1,3.17,Tetrahydrofuran,89.34,fresh,73
1,TA 2,0,1,3.17,1-propanethiol,89.06,fresh,73
1,TA 2,0,1,3.17,"Hexane, 2-methyl-",89.06,fresh,73
1,TA 2,0,1,3.17,methylcyclopentane,88.97,fresh,73
1,TA 2,0,1,3.17,Ethyl Acetate,88.94,fresh,73
1,TA 2,0,1,3.17,Carbon disulfide,94.7,fresh,73
1,TA 2,0,1,3.17,1-Propanol,94.19,fresh,73
