sample_id,treatment,day,replicate,microbial_load,voc,revalence_index,class_label,voc_count
1,Control ,0,1,3.06,Propanal,95.44,fresh,33
1,Control ,0,1,3.06,Propenal,95.22,fresh,33
1,Control ,0,1,3.06,ethyl chloride,94.84,fresh,33
1,Control ,0,1,3.06,ethanol,92.8,fresh,33
1,Control ,0,1,3.06,dimethyl sulfide,89.78,fresh,33
1,Control ,0,1,3.06,Methyl acetate,98.52,fresh,33
1,Control ,0,1,3.06,propan-2-one,97.33,fresh,33
1,Control ,0,1,3.06,dimethyl sulfide,97.15,fresh,33
1,Control ,0,1,3.06,2-propanol,93.68,fresh,33
1,Control ,0,1,3.06,2-Methyl-2-propanol,93.6,fresh,33
1,Control ,0,1,3.06,Ethyl Acetate,96.8,fresh,33
1,Control ,0,1,3.06,"2,2-dichloropropane",96.6,fresh,33
1,Control ,0,1,3.06,1-propanethiol,96.3,fresh,33
1,Control ,0,1,3.06,2-methylfuran,96.0,fresh,33
1,Control ,0,1,3.06,"Ethene, 1,2-dichloro, (Z)-",95.66,fresh,33
1,Control ,0,1,3.06,1-methoxy-2-propanol,88.12,fresh,33
1,Control ,0,1,3.06,1-penten-3-one,87.12,fresh,33
1,Control ,0,1,3.06,Trometamol,86.76,fresh,33
1,Control ,0,1,3.06,n-butanol,86.17,fresh,33
1,Control ,0,1,3.06,3-Pentanone,86.06,fresh,33
1,Control ,0,1,3.06,Octane,97.7,fresh,33
1,Control ,0,1,3.06,(E)-4-octene,96.41,fresh,33
1,Control ,0,1,3.06,1-Octene,96.24,fresh,33
1,Control ,0,1,3.06,3-Ethylhexane,95.07,fresh,33
1,Control ,0,1,3.06,3-methylheptane,94.7,fresh,33
1,Control ,0,1,3.06,Dibromochloromethane,93.65,fresh,33
1,Control ,0,1,3.06,(Z)-3-hexenal,93.5,fresh,33
1,Control ,0,1,3.06,Hexanal,93.34,fresh,33
1,Control ,0,1,3.06,2-hexanol,93.25,fresh,33
1,Control ,0,1,3.06,EDB,92.85,fresh,33
1,Control ,0,1,3.06,n-Hexylbenzene,98.35,fresh,33
1,Control ,0,1,3.06,Tridecane,96.67,fresh,33
1,Control ,0,1,3.06,(R)-linden ether,96.55,fresh,33
2,Control ,0,1,3.12,Methanethiol,46.87,fresh,116
2,Control ,0,1,3.12,Acetaldehyde,46.3,fresh,116
2,Control ,0,1,3.12,2-Methylbutane,44.88,fresh,116
2,Control ,0,1,3.12,Acetaldehyde,26.28,fresh,116
2,Control ,0,1,3.12,Methanethiol,25.72,fresh,116
2,Control ,0,1,3.12,Methanol,25.28,fresh,116
2,Control ,0,1,3.12,2-Methylbutane,25.1,fresh,116
2,Control ,0,1,3.12,Pentane,8.11,fresh,116
2,Control ,0,1,3.12,Acetaldehyde,23.55,fresh,116
2,Control ,0,1,3.12,Methanol,23.49,fresh,116
2,Control ,0,1,3.12,Methanethiol,22.74,fresh,116
2,Control ,0,1,3.12,2-Methylbutane,22.19,fresh,116
2,Control ,0,1,3.12,Pentane,7.47,fresh,116
2,Control ,0,1,3.12,Propanal,95.35,fresh,116
2,Control ,0,1,3.12,Propenal,95.14,fresh,116
2,Control ,0,1,3.12,ethyl chloride,94.41,fresh,116
2,Control ,0,1,3.12,ethanol,92.72,fresh,116
2,Control ,0,1,3.12,propan-2-one,90.86,fresh,116
2,Control ,0,1,3.12,Methyl acetate,98.26,fresh,116
2,Control ,0,1,3.12,dimethyl sulfide,96.56,fresh,116
2,Control ,0,1,3.12,propan-2-one,96.29,fresh,116
2,Control ,0,1,3.12,2-propanol,93.43,fresh,116
2,Control ,0,1,3.12,2-Methyl-2-propanol,93.35,fresh,116
2,Control ,0,1,3.12,2-Methyl-2-propanethiol,38.79,fresh,116
2,Control ,0,1,3.12,2-methylfuran,38.5,fresh,116
2,Control ,0,1,3.12,Diisopropyl ether,38.31,fresh,116
2,Control ,0,1,3.12,methylcyclopentane,38.29,fresh,116
2,Control ,0,1,3.12,Hexane,37.2,fresh,116
2,Control ,0,1,3.12,Acrylonitrile,27.76,fresh,116
2,Control ,0,1,3.12,2-methylpropanal,27.71,fresh,116
2,Control ,0,1,3.12,Acetonitrile,27.14,fresh,116
2,Control ,0,1,3.12,Dichloromethane,27.07,fresh,116
2,Control ,0,1,3.12,2-Methyl-2-propanol,26.9,fresh,116
2,Control ,0,1,3.12,3-Ethylpentane,87.22,fresh,116
2,Control ,0,1,3.12,Hexamethyldisiloxane,86.59,fresh,116
2,Control ,0,1,3.12,3-Methylhexane,85.82,fresh,116
2,Control ,0,1,3.12,2-methylfuran,40.74,fresh,116
2,Control ,0,1,3.12,methylcyclopentane,40.57,fresh,116
2,Control ,0,1,3.12,3-Ethylpentane,70.9,fresh,116
2,Control ,0,1,3.12,Hexamethyldisiloxane,70.38,fresh,116
2,Control ,0,1,3.12,3-Methylhexane,69.76,fresh,116
2,Control ,0,1,3.12,2-methylfuran,50.12,fresh,116
2,Control ,0,1,3.12,methylcyclopentane,49.92,fresh,116
2,Control ,0,1,3.12,3-Ethylpentane,79.66,fresh,116
2,Control ,0,1,3.12,Hexamethyldisiloxane,79.08,fresh,116
2,Control ,0,1,3.12,"2,2,4-Trimethylpentane",78.72,fresh,116
2,Control ,0,1,3.12,3-Methylhexane,78.38,fresh,116
2,Control ,0,1,3.12,Ethyl Acetate,30.49,fresh,116
2,Control ,0,1,3.12,3-Ethylpentane,77.14,fresh,116
2,Control ,0,1,3.12,"2,2,4-Trimethylpentane",76.76,fresh,116
2,Control ,0,1,3.12,Heptane,76.42,fresh,116
2,Control ,0,1,3.12,Hexamethyldisiloxane,76.12,fresh,116
2,Control ,0,1,3.12,3-Methylhexane,75.22,fresh,116
2,Control ,0,1,3.12,Heptane,74.76,fresh,116
2,Control ,0,1,3.12,"2,2,4-Trimethylpentane",72.83,fresh,116
2,Control ,0,1,3.12,3-Ethylpentane,72.19,fresh,116
2,Control ,0,1,3.12,Hexamethyldisiloxane,71.24,fresh,116
2,Control ,0,1,3.12,3-Methylhexane,70.4,fresh,116
2,Control ,0,1,3.12,3-Ethylhexane,63.49,fresh,116
2,Control ,0,1,3.12,3-methylheptane,63.41,fresh,116
2,Control ,0,1,3.12,2-Methylheptane,62.72,fresh,116
2,Control ,0,1,3.12,1-Chloropentane,62.65,fresh,116
2,Control ,0,1,3.12,4-Methylheptane,62.64,fresh,116
2,Control ,0,1,3.12,Acetoin,89.6,fresh,116
2,Control ,0,1,3.12,pentanol,86.51,fresh,116
2,Control ,0,1,3.12,1-hexen-3-ol,86.12,fresh,116
2,Control ,0,1,3.12,(E)-2-penten-1-ol,85.86,fresh,116
2,Control ,0,1,3.12,"Ethane, 1,1,2-trichloro-",85.46,fresh,116
2,Control ,0,1,3.12,Dibromochloromethane,98.63,fresh,116
2,Control ,0,1,3.12,(Z)-3-hexenal,98.46,fresh,116
2,Control ,0,1,3.12,Hexanal,98.29,fresh,116
2,Control ,0,1,3.12,2-hexanol,98.28,fresh,116
2,Control ,0,1,3.12,EDB,97.93,fresh,116
2,Control ,0,1,3.12,furfural,98.54,fresh,116
2,Control ,0,1,3.12,1-Hydroxy-2-(methylthio)-ethane,98.5,fresh,116
2,Control ,0,1,3.12,2-Cyclopenten-1-one,98.04,fresh,116
2,Control ,0,1,3.12,Butanoic acid,96.73,fresh,116
2,Control ,0,1,3.12,4-Methylpentanol,95.33,fresh,116
2,Control ,0,1,3.12,heptan-2-ol,81.8,fresh,116
2,Control ,0,1,3.12,Cyclohexanone,81.71,fresh,116
2,Control ,0,1,3.12,"2,6-Dimethyl-3-octene",81.56,fresh,116
2,Control ,0,1,3.12,(Z)-4-heptenal,81.53,fresh,116
2,Control ,0,1,3.12,Heptanal,81.49,fresh,116
2,Control ,0,1,3.12,"2,3-Octanedione",80.31,fresh,116
2,Control ,0,1,3.12,octadienone,80.13,fresh,116
2,Control ,0,1,3.12,"1,5-octadienone",79.84,fresh,116
2,Control ,0,1,3.12,1-Octen-3-ol,79.8,fresh,116
2,Control ,0,1,3.12,Butyl methacrylate,79.74,fresh,116
2,Control ,0,1,3.12,pentanoic acid,92.87,fresh,116
2,Control ,0,1,3.12,trimethylpyrazine,80.58,fresh,116
2,Control ,0,1,3.12,Octanal,80.43,fresh,116
2,Control ,0,1,3.12,2-Octanol,80.22,fresh,116
2,Control ,0,1,3.12,2-Ethyl-5-methylpyrazine,79.69,fresh,116
2,Control ,0,1,3.12,Glycerol,73.05,fresh,116
2,Control ,0,1,3.12,Hexanoic acid,72.31,fresh,116
2,Control ,0,1,3.12,Methyl cyclohexanecarboxylate,72.28,fresh,116
2,Control ,0,1,3.12,"(Z,Z)-3,6-nonadienal",22.29,fresh,116
2,Control ,0,1,3.12,n-nonanal,22.28,fresh,116
2,Control ,0,1,3.12,n-nonanal,98.0,fresh,116
2,Control ,0,1,3.12,2-nonanol,97.73,fresh,116
2,Control ,0,1,3.12,3-Nonanol,97.36,fresh,116
2,Control ,0,1,3.12,"(Z,Z)-3,6-nonadienal",97.06,fresh,116
2,Control ,0,1,3.12,Linalool,97.06,fresh,116
2,Control ,0,1,3.12,n-Hexylbenzene,90.69,fresh,116
2,Control ,0,1,3.12,Tridecane,89.12,fresh,116
2,Control ,0,1,3.12,(R)-linden ether,89.03,fresh,116
2,Control ,0,1,3.12,Triethyl phosphate,85.71,fresh,116
2,Control ,0,1,3.12,"Phenol, 2,6-dimethyl-",85.49,fresh,116
2,Control ,0,1,3.12,"1,2-Benzenediol",94.35,fresh,116
2,Control ,0,1,3.12,"2,4-Decadienal, (E,E)-",93.53,fresh,116
2,Control ,0,1,3.12,"1,2,3-Trimethoxybenzene",93.2,fresh,116
2,Control ,0,1,3.12,"2,4,6-Trichloroanisole",93.18,fresh,116
2,Control ,0,1,3.12,decanoic acid,92.94,fresh,116
2,Control ,0,1,3.12,Methyl eugenol,91.27,fresh,116
2,Control ,0,1,3.12,bis(2-furylmethyl) sulfide,90.38,fresh,116
2,Control ,0,1,3.12,"Carbamothioic acid, dipropyl, S-propyl ester",90.3,fresh,116
3,Control ,0,1,2.49,Acetaldehyde,65.84,fresh,76
3,Control ,0,1,2.49,Methanethiol,63.71,fresh,76
3,Control ,0,1,2.49,Methanol,63.32,fresh,76
3,Control ,0,1,2.49,2-Methylbutane,62.16,fresh,76
3,Control ,0,1,2.49,Pentane,5.64,fresh,76
3,Control ,0,1,2.49,Acetaldehyde,73.63,fresh,76
3,Control ,0,1,2.49,Methanol,73.42,fresh,76
3,Control ,0,1,2.49,Methanethiol,69.64,fresh,76
3,Control ,0,1,2.49,2-Methylbutane,67.94,fresh,76
3,Control ,0,1,2.49,Pentane,6.49,fresh,76
3,Control ,0,1,2.49,Propanal,95.26,fresh,76
3,Control ,0,1,2.49,Propenal,95.05,fresh,76
3,Control ,0,1,2.49,ethyl chloride,93.89,fresh,76
3,Control ,0,1,2.49,ethanol,92.63,fresh,76
3,Control ,0,1,2.49,propan-2-one,90.77,fresh,76
3,Control ,0,1,2.49,Methyl acetate,97.0,fresh,76
3,Control ,0,1,2.49,dimethyl sulfide,94.91,fresh,76
3,Control ,0,1,2.49,propan-2-one,94.65,fresh,76
3,Control ,0,1,2.49,2-propanol,92.23,fresh,76
3,Control ,0,1,2.49,2-Methyl-2-propanol,92.15,fresh,76
3,Control ,0,1,2.49,Ethyl Acetate,84.76,fresh,76
3,Control ,0,1,2.49,1-propanethiol,84.69,fresh,76
3,Control ,0,1,2.49,"2,2-dichloropropane",84.58,fresh,76
3,Control ,0,1,2.49,2-methylfuran,84.13,fresh,76
3,Control ,0,1,2.49,methylcyclopentane,84.11,fresh,76
3,Control ,0,1,2.49,"Ethene, 1,2-dichloro, (Z)-",52.7,fresh,76
3,Control ,0,1,2.49,Methyl 2-propenoate,52.54,fresh,76
3,Control ,0,1,2.49,1-propanethiol,52.5,fresh,76
3,Control ,0,1,2.49,Ethyl Acetate,52.08,fresh,76
3,Control ,0,1,2.49,Chloroform,51.9,fresh,76
3,Control ,0,1,2.49,butan-2-one,45.3,fresh,76
3,Control ,0,1,2.49,2-butanol,45.21,fresh,76
3,Control ,0,1,2.49,S(+)-2-butanol,44.98,fresh,76
3,Control ,0,1,2.49,Methyl 2-propenoate,44.48,fresh,76
3,Control ,0,1,2.49,"Ethene, 1,2-dichloro, (Z)-",44.48,fresh,76
3,Control ,0,1,2.49,1-methoxy-2-propanol,92.21,fresh,76
3,Control ,0,1,2.49,1-penten-3-one,92.0,fresh,76
3,Control ,0,1,2.49,Trometamol,91.62,fresh,76
3,Control ,0,1,2.49,3-Pentanone,90.0,fresh,76
3,Control ,0,1,2.49,n-butanol,89.89,fresh,76
3,Control ,0,1,2.49,3-Ethylhexane,50.35,fresh,76
3,Control ,0,1,2.49,Octane,50.3,fresh,76
3,Control ,0,1,2.49,3-methylheptane,50.28,fresh,76
3,Control ,0,1,2.49,acetic acid,49.75,fresh,76
3,Control ,0,1,2.49,(E)-4-octene,49.74,fresh,76
3,Control ,0,1,2.49,Acetoin,89.93,fresh,76
3,Control ,0,1,2.49,1-hexen-3-ol,66.66,fresh,76
3,Control ,0,1,2.49,pentanol,66.65,fresh,76
3,Control ,0,1,2.49,(E)-2-penten-1-ol,66.2,fresh,76
3,Control ,0,1,2.49,"Ethane, 1,1,2-trichloro-",66.02,fresh,76
3,Control ,0,1,2.49,Dibromochloromethane,97.91,fresh,76
3,Control ,0,1,2.49,EDB,97.76,fresh,76
3,Control ,0,1,2.49,(Z)-3-hexenal,97.74,fresh,76
3,Control ,0,1,2.49,2-hexanol,97.74,fresh,76
3,Control ,0,1,2.49,Hexanal,97.58,fresh,76
3,Control ,0,1,2.49,"2,3-Octanedione",63.61,fresh,76
3,Control ,0,1,2.49,octadienone,63.5,fresh,76
3,Control ,0,1,2.49,"1,5-octadienone",63.27,fresh,76
3,Control ,0,1,2.49,1-Octen-3-ol,63.23,fresh,76
3,Control ,0,1,2.49,Butyl methacrylate,63.11,fresh,76
3,Control ,0,1,2.49,Benzaldehyde,88.65,fresh,76
3,Control ,0,1,2.49,3-Octanol,88.64,fresh,76
3,Control ,0,1,2.49,Ethyl (methylthio)acetate,88.57,fresh,76
3,Control ,0,1,2.49,5-Methylfurfural,88.29,fresh,76
3,Control ,0,1,2.49,1-Octen-3-ol,88.25,fresh,76
3,Control ,0,1,2.49,n-Hexylbenzene,90.51,fresh,76
3,Control ,0,1,2.49,Tridecane,89.02,fresh,76
3,Control ,0,1,2.49,(R)-linden ether,88.85,fresh,76
3,Control ,0,1,2.49,"Carbamothioic acid, dipropyl, S-ethyl ester",42.31,fresh,76
3,Control ,0,1,2.49,"1,2-Benzenediol",42.07,fresh,76
3,Control ,0,1,2.49,(S)-3-(1-methyl-2-pyrrolidinyl)pyridine,41.87,fresh,76
3,Control ,0,1,2.49,"2,4,6-Trichloroanisole",41.84,fresh,76
3,Control ,0,1,2.49,decanoic acid,41.44,fresh,76
3,Control ,0,1,2.49,gamma-nonalactone,76.1,fresh,76
3,Control ,0,1,2.49,p-menthadienhydroperoxide,75.31,fresh,76
3,Control ,0,1,2.49,indole,44.8,fresh,76
4,Control ,0,1,2.59,Acetaldehyde,36.96,fresh,83
4,Control ,0,1,2.59,Methanethiol,35.69,fresh,83
4,Control ,0,1,2.59,Methanol,35.55,fresh,83
4,Control ,0,1,2.59,2-Methylbutane,34.82,fresh,83
4,Control ,0,1,2.59,Pentane,5.34,fresh,83
4,Control ,0,1,2.59,Acetaldehyde,18.0,fresh,83
4,Control ,0,1,2.59,Methanol,17.95,fresh,83
4,Control ,0,1,2.59,Methanethiol,17.11,fresh,83
4,Control ,0,1,2.59,Pentane,2.67,fresh,83
4,Control ,0,1,2.59,Diethyl ether,0.35,fresh,83
4,Control ,0,1,2.59,Propanal,95.41,fresh,83
4,Control ,0,1,2.59,Propenal,95.2,fresh,83
4,Control ,0,1,2.59,ethyl chloride,94.47,fresh,83
4,Control ,0,1,2.59,ethanol,92.77,fresh,83
4,Control ,0,1,2.59,propan-2-one,90.91,fresh,83
4,Control ,0,1,2.59,Methyl acetate,96.04,fresh,83
4,Control ,0,1,2.59,dimethyl sulfide,94.54,fresh,83
4,Control ,0,1,2.59,propan-2-one,94.54,fresh,83
4,Control ,0,1,2.59,2-propanol,91.32,fresh,83
4,Control ,0,1,2.59,2-Methyl-2-propanol,91.24,fresh,83
4,Control ,0,1,2.59,3-Methylhexane,96.51,fresh,83
4,Control ,0,1,2.59,Hexamethyldisiloxane,96.42,fresh,83
4,Control ,0,1,2.59,"Hexane, 2-methyl-",96.22,fresh,83
4,Control ,0,1,2.59,Cyclohexane,95.43,fresh,83
4,Control ,0,1,2.59,3-Ethylpentane,95.15,fresh,83
4,Control ,0,1,2.59,"butane-2,3-dione",68.21,fresh,83
4,Control ,0,1,2.59,3-Buten-2-one,67.93,fresh,83
4,Control ,0,1,2.59,Butanal,67.78,fresh,83
4,Control ,0,1,2.59,vinyl acetate,66.92,fresh,83
4,Control ,0,1,2.59,butan-2-one,66.83,fresh,83
4,Control ,0,1,2.59,"butane-2,3-dione",78.93,fresh,83
4,Control ,0,1,2.59,butan-2-one,78.23,fresh,83
4,Control ,0,1,2.59,S(+)-2-butanol,78.2,fresh,83
4,Control ,0,1,2.59,2-butanol,77.81,fresh,83
4,Control ,0,1,2.59,3-Buten-2-one,76.71,fresh,83
4,Control ,0,1,2.59,n-butanol,83.94,fresh,83
4,Control ,0,1,2.59,1-methoxy-2-propanol,83.67,fresh,83
4,Control ,0,1,2.59,but-(E)-2-enal,82.49,fresh,83
4,Control ,0,1,2.59,Pentanal,75.47,fresh,83
4,Control ,0,1,2.59,3-Pentanone,75.43,fresh,83
4,Control ,0,1,2.59,Formic acid,71.06,fresh,83
4,Control ,0,1,2.59,acetic acid,60.76,fresh,83
4,Control ,0,1,2.59,3-Ethylhexane,45.74,fresh,83
4,Control ,0,1,2.59,3-methylheptane,45.68,fresh,83
4,Control ,0,1,2.59,2-Methylheptane,45.16,fresh,83
4,Control ,0,1,2.59,Acetoin,96.2,fresh,83
4,Control ,0,1,2.59,Nonane,93.22,fresh,83
